[18:23:48 INF] Bus started: "rabbitmq://localhost/"
[18:24:43 WRN] Failed to determine the https port for redirect.
[18:24:43 INF] HTTP POST /api/prices responded 202 in 307.4667 ms
[18:27:02 INF] HTTP GET /api/prices/AVAX responded 200 in 112.1083 ms
[18:28:04 INF] Bus stopped: "rabbitmq://localhost/"
[18:28:14 INF] Bus started: "rabbitmq://localhost/"
[18:28:22 WRN] Failed to determine the https port for redirect.
[18:28:23 INF] HTTP GET /api/prices/AVAX responded 200 in 232.7663 ms
[18:28:52 INF] Executed DbCommand (8ms) [Parameters=[@ToUpper='?' (Size = 3)], CommandType='"Text"', CommandTimeout='30']
SELECT "c"."Id", "c"."Price", "c"."Symbol", "c"."Timestamp"
FROM "CryptoPrices" AS "c"
WHERE "c"."Symbol" = @ToUpper
ORDER BY "c"."Timestamp" DESC
LIMIT 1
[18:28:52 INF] HTTP GET /api/prices/AVA responded 404 in 454.5499 ms
[18:29:01 INF] HTTP GET /api/prices/AVAX responded 200 in 19.7138 ms
[18:29:54 INF] Bus stopped: "rabbitmq://localhost/"
[18:58:17 INF] Bus started: "rabbitmq://localhost/"
[18:59:35 WRN] Failed to determine the https port for redirect.
[18:59:36 INF] HTTP POST /api/prices responded 202 in 319.8518 ms
[18:59:36 INF] HTTP POST /api/prices responded 202 in 8.8101 ms
[18:59:36 INF] HTTP POST /api/prices responded 202 in 12.0964 ms
[18:59:36 INF] HTTP POST /api/prices responded 202 in 5.0064 ms
[18:59:37 INF] HTTP POST /api/prices responded 202 in 4.8448 ms
[18:59:37 INF] HTTP POST /api/prices responded 202 in 2.6999 ms
[18:59:37 INF] HTTP POST /api/prices responded 202 in 5.3259 ms
[18:59:37 INF] HTTP POST /api/prices responded 202 in 4.1373 ms
[18:59:37 INF] HTTP POST /api/prices responded 202 in 4.3899 ms
[18:59:38 INF] HTTP POST /api/prices responded 202 in 4.0708 ms
[18:59:38 INF] HTTP POST /api/prices responded 202 in 13.6946 ms
[18:59:38 INF] HTTP POST /api/prices responded 202 in 4.2316 ms
[18:59:38 INF] HTTP POST /api/prices responded 202 in 3.6226 ms
[18:59:39 INF] HTTP POST /api/prices responded 202 in 6.2160 ms
[18:59:39 INF] HTTP POST /api/prices responded 202 in 5.1213 ms
[18:59:39 INF] HTTP POST /api/prices responded 202 in 6.0062 ms
[18:59:39 INF] HTTP POST /api/prices responded 202 in 3.7837 ms
[18:59:40 INF] HTTP POST /api/prices responded 202 in 5.4995 ms
[18:59:40 INF] HTTP POST /api/prices responded 202 in 3.3238 ms
[18:59:40 INF] HTTP POST /api/prices responded 202 in 8.0144 ms
[18:59:40 INF] HTTP POST /api/prices responded 202 in 5.0804 ms
[18:59:40 INF] HTTP POST /api/prices responded 202 in 4.1037 ms
